Brand_ID,Classification,Price,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,free_chlorides,predicted_quality
Wi01-1453,White,6.99,8.832,0.1568,0.5047,1.84,0.0405,16.2,103.79,1.0847,3.224,0.5777,9.588,0.0677,6
Wi01-1460,White,5.99,6.816,0.4802,0.2266,1.84,0.0432,131.85,298.275,1.0817,3.3696,0.4033,10.34,0.1255,5
Wi01-1796,White,6.99,6.048,0.2352,0.3811,1.656,0.0285,5.4,59.17,1.0788,3.432,0.3706,11.468,0.0774,6
Wi01-2060,White,5.99,7.104,1.1613,0.0,3.91,0.0892,4.5,13.58,1.0863,3.7752,0.5886,10.058,0.1048,5
Wi01-2110,White,6.99,6.912,0.3136,0.4841,4.692,0.0405,17.1,63.05,1.0802,3.1512,0.4469,11.844,0.0654,6
Wi01-2354,White,6.99,8.352,0.294,0.6077,1.564,0.0423,9.0,67.9,1.0832,3.1824,0.6104,10.152,0.0654,6
Wi01-2705,White,6.99,8.16,0.392,0.412,5.796,0.046,2.7,9.7,1.0853,3.4112,0.6104,11.28,0.0621,6
Wi01-2740,White,5.99,6.432,0.7448,0.0206,1.656,0.0718,5.4,11.64,1.0856,3.692,0.6867,9.353,0.1308,5
Wi01-3137,White,6.99,8.16,0.2548,0.2163,14.904,0.0681,36.9,191.09,1.0878,3.1408,0.545,9.212,0.093,6
Wi01-3156,White,6.99,7.872,0.2842,0.5047,0.92,0.0405,26.1,114.46,1.0822,3.3696,0.3924,10.246,0.0812,6
Wi01-3263,White,6.99,6.816,0.2254,0.2472,4.968,0.0359,54.0,190.12,1.0843,3.3176,0.8502,9.4,0.0716,6
Wi01-3425,White,6.99,7.872,0.2548,0.4532,1.196,0.0423,6.3,66.93,1.0839,3.2656,0.6758,9.588,0.0817,6
Wi01-3471,White,6.99,11.328,0.2254,0.3914,10.212,0.0313,13.5,119.31,1.0897,3.0472,0.5995,9.118,0.1081,6
Wi01-3478,White,5.99,4.032,0.2107,0.2369,4.692,0.0377,57.6,152.29,1.0866,3.5568,0.4796,7.52,0.1004,5
Wi01-3641,White,5.99,7.968,0.9996,0.0206,3.128,0.0773,5.4,10.67,1.0888,3.6192,0.5341,10.34,0.1719,5
Wi01-3681,White,6.99,5.76,0.343,0.4738,0.828,0.0304,8.1,63.05,1.0784,3.3696,0.3815,11.374,0.0606,6
Wi02-1533,Red,6.99,6.24,0.3136,0.4944,7.36,0.0239,16.2,85.36,1.0807,3.3488,0.8611,11.938,0.0674,7
Wi02-1735,Red,5.99,9.984,0.5978,0.5047,1.932,0.184,4.5,15.52,1.0893,3.2864,0.6867,7.896,0.0963,5
Wi02-1800,Red,6.99,5.76,0.3871,0.0,1.288,0.0386,6.3,53.35,1.0806,3.5048,0.4142,10.528,0.0581,6
Wi02-2170,Red,6.99,5.568,0.2352,0.4532,3.22,0.0267,4.5,105.73,1.0805,3.6712,0.4687,10.998,0.1214,6
